file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous1$Anonymous2$Anonymous3,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,Transformation$Anonymous50,anonymous,1,1,0,1,3,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous45,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous46,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,3,2,1,0,0,0,0,9,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous1$Anonymous9,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BridaMessageEditorPlugin.java,burp.BridaMessageEditorPlugin$BridaMessageEditorPluginOutputLocation,enum,1,1,0,1,5,1,0,2,0,0.0,1.0,1.0,3,1,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,14,3,1,0,0,0,7,0,1,0,1,2,0,0,0,50,9,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,Transformation$Anonymous49,anonymous,1,1,0,1,3,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous1$Anonymous7,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,Transformation$Anonymous48,anonymous,5,5,0,5,3,1,0,0,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,15,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\CustomPlugin.java,burp.CustomPlugin$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous1$Anonymous5,anonymous,7,7,0,7,11,1,0,21,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,1,1,8,9,5,8,2,8,5,0,0,0,48,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,Transformation$Anonymous47,anonymous,5,5,0,5,3,1,0,0,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,16,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous1$Anonymous6,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
