file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\test\java\org\apache\kafka\clients\consumer\internals\FetchRequestManagerTest.java,org.apache.kafka.clients.consumer.internals.FetchRequestManagerTest$Anonymous2,anonymous,2,2,0,2,2,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,10,1,0,1,0,0,1,3,1,1,1,1,0,0,0,7,-1,0
C:\Users\abhi\Downloads\Kafka\kafka\connect\runtime\src\main\java\org\apache\kafka\connect\runtime\WorkerConnector.java,org.apache.kafka.connect.runtime.WorkerConnector$ConnectorMetricsGroup,innerclass,6,6,0,6,27,1,0,23,0,0.45833334,0.78333336,1,16,0,10,0,1,5,16,0,0,0,3,0,0,3,0,0,2,0,4,97,6,0,5,0,0,0,0,12,0,5,2,0,0,1,44,0,0
C:\Users\abhi\Downloads\Kafka\kafka\log4j-appender\src\main\java\org\apache\kafka\log4jappender\KafkaLog4jAppender.java,org.apache.kafka.log4jappender.KafkaLog4jAppender,class,10,13,3,10,82,2,1,16,1224,0.9418238,0.058069382,0.92383105,53,0,50,1,2,0,52,0,0,0,24,0,0,24,0,0,0,0,3,247,27,0,20,1,2,13,4,34,3,27,3,0,0,0,109,1,4
C:\Users\abhi\Downloads\Kafka\kafka\server\src\test\java\org\apache\kafka\server\ClientMetricsManagerTest.java,org.apache.kafka.server.ClientMetricsManagerTest,class,25,26,1,25,74,1,0,96,0,0.62857145,0.905303,1,35,0,33,2,0,0,33,0,0,0,5,1,0,5,0,0,1,0,77,702,2,6,15,8,0,132,157,174,73,159,2,0,0,16,117,1,46
C:\Users\abhi\Downloads\Kafka\kafka\shell\src\main\java\org\apache\kafka\shell\command\CatCommandHandler.java,org.apache.kafka.shell.command.CatCommandHandler$CatCommandType,innerclass,8,8,0,8,7,1,0,7,21,0,0,0,7,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,22,4,0,0,0,0,6,1,0,1,0,0,0,0,0,30,9,0
C:\Users\abhi\Downloads\Kafka\kafka\tools\src\main\java\org\apache\kafka\tools\VerifiableLog4jAppender.java,org.apache.kafka.tools.VerifiableLog4jAppender,class,5,6,1,5,20,1,0,37,9,0.72222215,0,0,6,4,4,2,0,0,4,0,0,0,3,0,0,2,0,1,0,0,6,100,3,1,5,3,0,90,7,21,0,18,3,0,0,1,164,1,1
C:\Users\abhi\Downloads\Kafka\kafka\streams\src\main\java\org\apache\kafka\streams\kstream\internals\KTablePassThrough.java,org.apache.kafka.streams.kstream.internals.KTablePassThrough$Anonymous1,anonymous,4,4,0,4,2,1,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Users\abhi\Downloads\Kafka\kafka\connect\runtime\src\test\java\org\apache\kafka\connect\runtime\LoggersTest.java,org.apache.kafka.connect.runtime.LoggersTest$TestLoggers$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\FetchMetricsManager.java,org.apache.kafka.clients.consumer.internals.FetchMetricsManager,class,10,30,20,10,22,1,0,34,82,0.8294118,0.28787878,0.6818182,17,6,2,5,0,10,12,0,0,0,10,0,0,10,0,0,8,0,9,104,8,2,1,0,0,15,5,26,4,26,3,0,0,5,88,1,0
C:\Users\abhi\Downloads\Kafka\kafka\tools\src\main\java\org\apache\kafka\tools\ManifestWorkspace.java,org.apache.kafka.tools.ManifestWorkspace$SourceWorkspace,innerclass,6,6,0,6,14,1,0,10,22,0.7291667,0.18181819,0.18181819,12,3,6,1,5,0,11,6,0,0,4,0,0,2,2,0,4,0,1,45,4,1,0,1,0,3,1,8,2,10,2,0,0,2,69,1033,0
C:\Users\abhi\Downloads\Kafka\kafka\connect\api\src\main\java\org\apache\kafka\connect\connector\ConnectRecord.java,org.apache.kafka.connect.connector.ConnectRecord,class,6,24,18,6,26,1,0,6,0,0.48333335,0.71428573,1,15,0,15,0,0,0,15,2,0,0,8,0,0,8,0,0,8,0,8,74,13,0,10,0,6,9,14,18,16,10,1,0,0,0,93,1025,0
C:\Users\abhi\Downloads\Kafka\kafka\group-coordinator\src\main\java\org\apache\kafka\coordinator\group\runtime\MultiThreadedEventProcessor.java,org.apache.kafka.coordinator.group.runtime.MultiThreadedEventProcessor,class,10,13,3,10,8,2,0,16,0,0.5833334,0.6,1,6,0,6,0,0,0,6,0,0,1,6,0,0,6,0,0,5,0,4,122,1,1,0,0,0,3,1,7,1,7,1,0,1,1,74,1,3
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\ConsumerNetworkThread.java,org.apache.kafka.clients.consumer.internals.ConsumerNetworkThread,class,11,15,4,11,21,2,0,45,12,0.78571427,0.4,1,13,1,7,2,0,4,11,0,0,0,14,2,0,13,0,1,8,0,3,111,3,2,1,4,0,13,1,21,0,20,3,0,0,4,239,1,8
C:\Users\abhi\Downloads\Kafka\kafka\raft\src\test\java\org\apache\kafka\raft\internals\ThresholdPurgatoryTest.java,org.apache.kafka.raft.internals.ThresholdPurgatoryTest,class,6,6,0,6,5,1,0,14,0,0.4,1,1,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,3,0,0,105,0,0,0,0,0,0,66,24,0,24,0,0,0,0,36,0,0
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\common\resource\ResourceType.java,org.apache.kafka.common.resource.ResourceType,enum,2,13,11,2,10,1,0,5,4,0.6,0.4,0.6666667,5,2,4,0,0,1,6,0,0,0,2,1,0,2,0,0,2,0,2,40,6,1,2,1,0,0,8,3,0,3,1,0,0,0,82,1,0
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\common\Uuid.java,org.apache.kafka.common.Uuid,class,2,28,26,2,28,1,0,26,38,0.83333343,0.25454545,0.27272728,13,5,11,2,0,0,11,0,0,0,6,4,4,2,0,0,6,0,10,88,19,2,7,0,3,7,16,17,3,15,1,0,0,0,151,1,0
C:\Users\abhi\Downloads\Kafka\kafka\streams\src\test\java\org\apache\kafka\streams\state\internals\LogicalKeyValueSegmentTest.java,org.apache.kafka.streams.state.internals.LogicalKeyValueSegmentTest,class,19,20,1,19,20,1,0,31,0,0.72999996,0.9485294,1,20,3,17,3,0,0,17,0,0,0,10,5,0,10,0,0,5,0,212,332,3,0,0,10,0,192,5,87,0,87,1,0,0,2,103,1,0
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\TopicMetadataRequestManager.java,org.apache.kafka.clients.consumer.internals.TopicMetadataRequestManager,class,9,14,5,9,6,2,0,17,0,0.4666667,1,1,5,0,4,0,0,1,5,0,0,0,6,0,0,6,0,0,6,0,2,143,4,0,0,0,0,0,1,10,0,12,0,0,1,2,86,1,0
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\clients\Metadata.java,org.apache.kafka.clients.Metadata,class,23,44,21,23,94,1,1,96,515,0.8664021,0.21780303,0.61742425,42,0,28,9,4,1,33,0,0,23,18,0,0,18,0,0,5,0,32,423,38,3,11,0,1,25,31,99,12,73,4,0,3,12,428,1,20
C:\Users\abhi\Downloads\Kafka\kafka\metadata\src\main\java\org\apache\kafka\image\node\ProducerIdsImageNode.java,org.apache.kafka.image.node.ProducerIdsImageNode,class,3,5,2,3,4,1,0,3,1,0.6666667,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,1,1,1,0,0,2,0,1,18,3,0,0,0,0,4,0,2,1,2,1,0,0,0,20,1,0
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\common\requests\AlterPartitionReassignmentsResponse.java,org.apache.kafka.common.requests.AlterPartitionReassignmentsResponse,class,5,9,4,5,7,2,0,10,1,0.2857143,0.47619048,0.47619048,7,1,7,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,1,28,5,0,0,0,0,0,0,2,0,4,0,0,0,2,29,1,0
C:\Users\abhi\Downloads\Kafka\kafka\streams\src\main\java\org\apache\kafka\streams\kstream\internals\KStreamJoinWindow.java,org.apache.kafka.streams.kstream.internals.KStreamJoinWindow$KStreamJoinWindowProcessor,innerclass,5,5,0,5,3,2,0,8,0,0,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,13,0,0,1,0,0,0,0,1,0,1,1,0,0,0,12,2,0
C:\Users\abhi\Downloads\Kafka\kafka\server\src\main\java\org\apache\kafka\server\NodeToControllerChannelManager.java,org.apache.kafka.server.NodeToControllerChannelManager,interface,2,5,3,2,4,1,0,0,6,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\abhi\Downloads\Kafka\kafka\server-common\src\main\java\org\apache\kafka\server\util\InterBrokerSendThread.java,org.apache.kafka.server.util.InterBrokerSendThread,class,13,16,3,13,28,3,2,46,0,0.5769231,0.42857143,0.53571427,13,1,7,5,1,0,8,1,0,0,4,0,0,3,1,0,3,0,3,143,3,5,1,1,0,4,0,18,0,17,4,0,1,1,84,1025,3
C:\Users\abhi\Downloads\Kafka\kafka\metadata\src\main\java\org\apache\kafka\controller\QuorumController.java,org.apache.kafka.controller.QuorumController$ControllerEvent,innerclass,3,3,0,3,4,1,0,10,0,0.5,0.8333333,1,4,0,3,0,0,1,4,0,0,0,4,0,0,4,0,0,3,0,3,22,1,0,0,0,0,1,0,5,0,4,0,0,0,0,34,0,1
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\test\java\org\apache\kafka\common\utils\LogCaptureAppender.java,org.apache.kafka.common.utils.LogCaptureAppender$LogLevelChange,innerclass,1,1,0,1,1,1,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,9,0
C:\Users\abhi\Downloads\Kafka\kafka\server-common\src\main\java\org\apache\kafka\server\immutable\ImmutableNavigableSet.java,org.apache.kafka.server.immutable.ImmutableNavigableSet,interface,4,7,3,4,4,1,0,2,6,0,0,0,4,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
C:\Users\abhi\Downloads\Kafka\kafka\streams\src\main\java\org\apache\kafka\streams\errors\BrokerNotFoundException.java,org.apache.kafka.streams.errors.BrokerNotFoundException,class,1,1,0,1,3,3,0,0,3,1,0,0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,0,24,1,0
C:\Users\abhi\Downloads\Kafka\kafka\server-common\src\main\java\org\apache\kafka\server\common\MetadataVersion.java,org.apache.kafka.server.common.MetadataVersion,enum,2,8,6,2,113,1,0,31,1120,0.9530613,0.023809524,0.04931973,49,7,45,1,0,3,49,0,0,0,10,6,5,5,0,0,10,0,11,373,91,3,4,0,1,119,112,25,6,20,2,0,0,1,296,1,0
C:\Users\abhi\Downloads\Kafka\kafka\streams\src\main\java\org\apache\kafka\streams\kstream\internals\foreignkeyjoin\CombinedKeySchema.java,org.apache.kafka.streams.kstream.internals.foreignkeyjoin.CombinedKeySchema,class,9,14,5,9,13,1,0,15,0,0.40000004,1,1,5,0,3,0,0,2,5,0,0,0,8,0,0,8,0,0,2,0,3,54,3,0,8,0,0,1,2,24,3,20,0,0,0,0,35,1,0
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\clients\admin\ListTopicsOptions.java,org.apache.kafka.clients.admin.ListTopicsOptions,class,3,9,6,3,10,2,0,2,0,0.16666667,0.6666667,0.6666667,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,1,26,8,0,4,0,0,2,0,4,2,2,1,0,0,0,47,1,0
C:\Users\abhi\Downloads\Kafka\kafka\group-coordinator\src\main\java\org\apache\kafka\coordinator\group\runtime\CoordinatorRuntime.java,org.apache.kafka.coordinator.group.runtime.CoordinatorRuntime$EventBasedCoordinatorTimer,innerclass,8,8,0,8,9,1,0,14,1,0.6111111,0.46666667,0.6666667,6,0,5,0,0,1,6,0,0,0,3,0,0,0,0,3,3,0,0,72,1,1,2,0,0,1,1,7,0,7,1,1,0,0,90,0,1
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\common\config\SaslConfigs.java,org.apache.kafka.common.config.SaslConfigs,class,2,3,1,2,1,1,0,3,0,0.051948052,NaN,NaN,1,1,1,0,0,0,1,0,0,0,77,77,74,3,0,0,77,0,4,82,0,0,0,0,0,115,25,77,29,77,0,0,0,0,274,1,0
